1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	4.506527736286237e-09
18.0	2.7445021032443633e-09
19.0	2.0120740622507203e-09
20.0	2.003627856351392e-09
21.0	1.2542488040041496e-09
22.0	1.2811215254615735e-09
23.0	2.0630017780805817e-09
24.0	4.5695188001169826e-10
25.0	9.142462920036147e-10
26.0	5.081159820143778e-10
27.0	8.802204179501367e-07
28.0	1.2158663275762844e-11
29.0	1.2833497229146374e-06
30.0	1.7964017992688972
