1	2.54181	1.1297043524305408	-0.006886253262588376	-0.15573864607984556
2	2.59378	1.1315322848244507	-0.013237215436694443	-0.1491164524098023
3	2.75179	1.1325377679792668	-0.04575438823212414	-0.16599611585560625
4	2.92274	1.1274710162130346	-0.058917375042144664	-0.1388910845856577
5	3.09861	1.1251515755226418	-0.07554011381285672	-0.12067001609111117
6	3.20392	1.1788827904419874	-0.04513858894042638	-0.08905026300282781
7	3.49196	1.120176485381115	-0.05099189755082731	-0.11314994692301905
8	3.58572	1.1155590892460157	-0.05409441049529763	-0.10528256850464857
9	3.69688	1.1176395955765723	-0.053042425635175215	-0.0759492809121971
10	3.82654	1.122698369286755	-0.06292602145641851	-0.0633422516076858
11	3.96976	1.1255156784347398	-0.07583851109287455	-0.06964814154747234
12	4.11322	1.1303987047060264	-0.08859533720768073	-0.068764222735612
13	4.27583	1.1367707821280015	-0.09588760580284869	-0.058986992751487666
14	4.44671	1.1414552886114555	-0.10948800855346753	-0.075530678085451
15	4.58741	1.142392004479453	-0.12383956275301307	-0.06751058382187303
16	4.70939	1.1433703808913722	-0.13189534653315788	-0.039613753624827996
17	4.8272	1.149269402706872	-0.125065728321194	0.002792415495389111
18	4.9463	1.1561817806900752	-0.14725901127742913	0.03603049233839828
19	5.08122	1.159716910111971	-0.15756635268554028	0.0453376030532926
20	5.21482	1.1542583625857539	-0.16797371013111337	0.08751756711960779
